Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
UNIROYAL ELEC,C25792,CHIP RESISTOR - SURFACE MOUNT 47KOHMS ±1% 1/16W 0402 ROHS,0402,104812,CHIP RESISTOR - SURFACE MOUNT,0402WGF4702TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF4702TCE_C25792.pdf,0.0041,47000.0,1.0,Resistor,,46530.0,47470.0
UNIROYAL ELEC,C23193,CHIP RESISTOR - SURFACE MOUNT 510OHMS ±1% 1/10W 0603 ROHS,0603,372318,CHIP RESISTOR - SURFACE MOUNT,0603WAF5100T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF5100T5E_C23193.pdf,0.0016,510.0,1.0,Resistor,,504.9,515.1
CHANGJIANG ELECTRONICS TECH (CJ),C8598,SCHOTTKY BARRIER DIODES (SBD) SOD-123 ROHS,SOD-123,176372,SCHOTTKY BARRIER DIODES (SBD),B5819W,https://datasheet.lcsc.com/szlcsc/Changjiang-Electronics-Tech-CJ-B5819W_C8598.pdf,0.0388,,5.0,,,,
UNIROYAL ELEC,C23138,CHIP RESISTOR - SURFACE MOUNT 330OHMS ±1% 1/10W 0603 ROHS,0603,232016,CHIP RESISTOR - SURFACE MOUNT,0603WAF3300T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF3300T5E_C23138.pdf,0.0018,330.0,1.0,Resistor,,326.7,333.3
ALPHA & OMEGA SEMICON,C15127,"MOSFET P TRENCH 30V 4A 1.3V @ 250UA 44 M? @ 4.3A,10V SOT-23-3L ROHS",SOT-23-3L,95429,MOSFET,AO3401A,https://datasheet.lcsc.com/szlcsc/Alpha-Omega-Semicon-AOS-AO3401A_C15127.pdf,0.0797,,5.0,,30.0,,
UNIROYAL ELEC,C17477,CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/8W 0805 ROHS,0805,225157,CHIP RESISTOR - SURFACE MOUNT,0805W8F0000T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F0000T5E_C17477.pdf,0.0029,0.0,1.0,Resistor,,0.0,0.0
UNIROYAL ELEC,C21189,CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/10W 0603 ROHS,0603,1034697,CHIP RESISTOR - SURFACE MOUNT,0603WAF0000T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF0000T5E_C21189.pdf,0.0016,0.0,1.0,Resistor,,0.0,0.0
SAMSUNG ELECTRO-MECHANICS,C1644,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 15PF 50V 0603 ROHS,0603,138413,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10C150JB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C150JB8NNNC_C1644.pdf,0.0196,1.5e-11,5.0,Capacitor,50.0,1.425e-11,1.575e-11
SAMSUNG ELECTRO-MECHANICS,C1647,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 18PF 50V 0603 ROHS,0603,68038,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10C180JB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C180JB8NNNC_C1647.pdf,0.0066,1.8e-11,5.0,Capacitor,50.0,1.7099999999999998e-11,1.89e-11
SAMSUNG ELECTRO-MECHANICS,C1790,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 100PF 50V 0805 ROHS,0805,184673,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL21C101JBANNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21C101JBANNNC_C1790.pdf,0.0114,1e-10,5.0,Capacitor,50.0,9.5e-11,1.0500000000000001e-10
