Manufacturer,LCSC Part #,Description,value,tolerance,type,voltage,min_value,max_value,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),basic-extended,unit,Comment,Category,code,value_in_ohms,dielectric,value_in_farads
UNIROYAL ELEC,C25792,CHIP RESISTOR - SURFACE MOUNT 47KOHMS ±1% 1/16W 0402 ROHS,47.0,1.0,Resistor,,46530.0,47470.0,0402,104812.0,CHIP RESISTOR - SURFACE MOUNT,0402WGF4702TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF4702TCE_C25792.pdf,0.0041,Basic,KΩ,,,,,,
UNIROYAL ELEC,C23193,CHIP RESISTOR - SURFACE MOUNT 510OHMS ±1% 1/10W 0603 ROHS,510.0,1.0,Resistor,,504.9,515.1,0603,372318.0,CHIP RESISTOR - SURFACE MOUNT,0603WAF5100T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF5100T5E_C23193.pdf,0.0016,Basic,Ω,,,,,,
UNIROYAL ELEC,C23138,CHIP RESISTOR - SURFACE MOUNT 330OHMS ±1% 1/10W 0603 ROHS,330.0,1.0,Resistor,,326.7,333.3,0603,232016.0,CHIP RESISTOR - SURFACE MOUNT,0603WAF3300T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF3300T5E_C23138.pdf,0.0018,Basic,Ω,,,,,,
UNIROYAL ELEC,C17477,CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/8W 0805 ROHS,0.0,1.0,Resistor,,0.0,0.0,0805,225157.0,CHIP RESISTOR - SURFACE MOUNT,0805W8F0000T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F0000T5E_C17477.pdf,0.0029,Basic,Ω,,,,,,
UNIROYAL ELEC,C21189,CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/10W 0603 ROHS,0.0,1.0,Resistor,,0.0,0.0,0603,1034697.0,CHIP RESISTOR - SURFACE MOUNT,0603WAF0000T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF0000T5E_C21189.pdf,0.0016,Basic,Ω,,,,,,
SAMSUNG ELECTRO-MECHANICS,C1644,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 15PF 50V 0603 ROHS,15.0,5.0,Capacitor,50.0,1.425e-11,1.575e-11,0603,138413.0,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10C150JB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C150JB8NNNC_C1644.pdf,0.0196,Basic,pF,,,,,,
SAMSUNG ELECTRO-MECHANICS,C1647,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 18PF 50V 0603 ROHS,18.0,5.0,Capacitor,50.0,1.71e-11,1.89e-11,0603,68038.0,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10C180JB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C180JB8NNNC_C1647.pdf,0.0066,Basic,pF,,,,,,
SAMSUNG ELECTRO-MECHANICS,C1790,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 100PF 50V 0805 ROHS,100.0,5.0,Capacitor,50.0,9.5e-11,1.05e-10,0805,184673.0,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL21C101JBANNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21C101JBANNNC_C1790.pdf,0.0114,Basic,pF,,,,,,
SAMSUNG ELECTRO-MECHANICS,C14858,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 100PF 50V 0603 ROHS,100.0,5.0,Capacitor,50.0,9.5e-11,1.05e-10,0603,297621.0,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10C101JB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C101JB8NNNC_C14858.pdf,0.0148,Basic,pF,,,,,,
SAMSUNG ELECTRO-MECHANICS,C1603,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 220PF 50V 0603 ROHS,220.0,5.0,Capacitor,50.0,2.09e-10,2.31e-10,0603,85996.0,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10B221KB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10B221KB8NNNC_C1603.pdf,0.0165,Basic,pF,,,,,,
